run_name,env_name,context,train_win_rate,train_ep_rew_mean,train_death_saw_pct,train_death_enemy_pct,train_death_lava_pct,train_death_timeout_pct,train_death_unknown_pct,test_win_rate_1,test_win_rate_2,test_win_rate_3,test_win_rate_mean,test_ep_rew_mean_1,test_ep_rew_mean_2,test_ep_rew_mean_3,test_ep_rew_mean,test_death_saw_pct,test_death_enemy_pct,test_death_lava_pct,test_death_timeout_pct,test_death_unknown_pct,generalization_gap
CnnPolicy_50M_coinrun_8192_4_levels0_seed2026_v0,coinrun,"[{""allow_monsters"":true}]",65.4615,6.2000,64.9124,29.8180,5.2488,0.0208,0.0000,72.2700,71.9900,72.5200,72.2600,7.2270,7.1990,7.2520,7.2260,62.1125,32.8407,5.0469,0.0000,0.0000,-6.7985
CnnPolicy_50M_coinrun_8192_4_levels0_seed42_v0,coinrun,"[{""allow_monsters"":true}]",65.6624,6.0000,64.8969,29.9602,5.1281,0.0148,0.0000,71.6100,71.3100,72.1300,71.6833,7.1610,7.1310,7.2130,7.1683,61.6598,33.2195,5.1207,0.0000,0.0000,-6.0209
CnnPolicy_50M_coinrun_8192_4_levels0_seed749251_v0,coinrun,"[{""allow_monsters"":true}]",65.3433,6.9000,64.5509,30.0311,5.3609,0.0571,0.0000,71.9600,71.9500,71.8700,71.9267,7.1960,7.1950,7.1870,7.1927,62.1943,32.8900,4.9157,0.0000,0.0000,-6.5834
CnnPolicy_50M_coinrun_8192_4_levels1000_seed2026_v0,coinrun,"[{""allow_monsters"":true}]",68.1178,7.7000,65.7797,26.4551,7.7621,0.0031,0.0000,65.4200,66.0300,65.9200,65.7900,6.5420,6.6030,6.5920,6.5790,65.1661,29.1338,5.0570,0.6431,0.0000,2.3278
CnnPolicy_50M_coinrun_8192_4_levels1000_seed42_v0,coinrun,"[{""allow_monsters"":true}]",67.8713,7.2000,65.6688,26.9275,7.3720,0.0317,0.0000,66.7300,66.4300,66.5600,66.5733,6.6730,6.6430,6.6560,6.6573,66.0451,29.2980,4.6570,0.0000,0.0000,1.2980
CnnPolicy_50M_coinrun_8192_4_levels1000_seed749251_v0,coinrun,"[{""allow_monsters"":true}]",67.9585,7.2000,66.0129,26.8284,7.1521,0.0065,0.0000,65.2100,66.1300,65.2400,65.5267,6.5210,6.6130,6.5240,6.5527,66.3315,28.0507,4.9023,0.7155,0.0000,2.4319
CnnPolicy_50M_coinrun_8192_4_levels100_seed2026_v1,coinrun,"[{""allow_monsters"":true}]",89.2924,9.9000,58.7938,32.3704,8.8288,0.0070,0.0000,56.9800,57.5600,58.1600,57.5667,5.6980,5.7560,5.8160,5.7567,62.9929,28.2561,5.2789,3.4721,0.0000,31.7258
CnnPolicy_50M_coinrun_8192_4_levels100_seed42_v1,coinrun,"[{""allow_monsters"":true}]",89.3597,9.4000,63.3367,28.9502,7.6939,0.0193,0.0000,57.9200,58.1700,58.3000,58.1300,5.7920,5.8170,5.8300,5.8130,61.7865,28.1029,4.9598,5.1509,0.0000,31.2297
CnnPolicy_50M_coinrun_8192_4_levels100_seed749251_v1,coinrun,"[{""allow_monsters"":true}]",86.8440,9.6000,62.2647,28.9442,8.6931,0.0980,0.0000,59.7000,59.7800,60.2900,59.9233,5.9700,5.9780,6.0290,5.9923,65.4579,28.7033,4.9239,0.9149,0.0000,26.9207
CnnPolicy_50M_coinrun_8192_4_levels12000_seed2026_v0,coinrun,"[{""allow_monsters"":true}]",65.5455,7.3000,65.6178,29.2689,5.0983,0.0150,0.0000,70.5400,71.0700,70.9600,70.8567,7.0540,7.1070,7.0960,7.0857,63.4794,31.2021,5.3185,0.0000,0.0000,-5.3112
CnnPolicy_50M_coinrun_8192_4_levels12000_seed42_v0,coinrun,"[{""allow_monsters"":true}]",65.4471,7.5000,65.9995,28.8564,5.1373,0.0067,0.0000,70.8100,70.5500,70.8500,70.7367,7.0810,7.0550,7.0850,7.0737,64.3012,30.6071,5.0917,0.0000,0.0000,-5.2895
CnnPolicy_50M_coinrun_8192_4_levels12000_seed749251_v0,coinrun,"[{""allow_monsters"":true}]",66.7203,6.3000,65.7553,29.3295,4.9123,0.0029,0.0000,72.8000,72.4800,72.2600,72.5133,7.2800,7.2480,7.2260,7.2513,63.3398,31.5668,5.0934,0.0000,0.0000,-5.7931
CnnPolicy_50M_coinrun_8192_4_levels16000_seed2026_v0,coinrun,"[{""allow_monsters"":true}]",65.8444,6.8000,65.4219,29.3834,5.1767,0.0181,0.0000,71.3600,71.4100,71.2700,71.3467,7.1360,7.1410,7.1270,7.1347,63.2038,31.4449,5.3513,0.0000,0.0000,-5.5023
CnnPolicy_50M_coinrun_8192_4_levels16000_seed42_v0,coinrun,"[{""allow_monsters"":true}]",65.5987,7.2000,65.8810,29.0058,5.1033,0.0098,0.0000,70.6000,70.5100,71.0000,70.7033,7.0600,7.0510,7.1000,7.0703,64.3759,31.1412,4.4829,0.0000,0.0000,-5.1046
CnnPolicy_50M_coinrun_8192_4_levels16000_seed749251_v0,coinrun,"[{""allow_monsters"":true}]",65.3542,6.7000,65.3888,29.3288,5.2675,0.0148,0.0000,71.7500,71.5700,71.4800,71.6000,7.1750,7.1570,7.1480,7.1600,63.1455,31.9014,4.9531,0.0000,0.0000,-6.2458
CnnPolicy_50M_coinrun_8192_4_levels2000_seed2026_v0,coinrun,"[{""allow_monsters"":true}]",66.3774,7.4000,66.6177,27.8193,5.5434,0.0196,0.0000,66.1800,66.9200,66.8900,66.6633,6.6180,6.6920,6.6890,6.6663,66.8733,28.1472,4.8995,0.0800,0.0000,-0.2859
CnnPolicy_50M_coinrun_8192_4_levels2000_seed42_v0,coinrun,"[{""allow_monsters"":true}]",67.0090,6.9000,66.3720,27.5365,6.0452,0.0463,0.0000,67.0600,66.3300,66.9900,66.7933,6.7060,6.6330,6.6990,6.6793,67.0749,27.8157,5.1094,0.0000,0.0000,0.2156
CnnPolicy_50M_coinrun_8192_4_levels2000_seed749251_v0,coinrun,"[{""allow_monsters"":true}]",67.0013,6.2000,66.7726,27.7577,5.4532,0.0166,0.0000,66.9600,67.0100,67.0400,67.0033,6.6960,6.7010,6.7040,6.7003,66.3198,28.3867,5.2935,0.0000,0.0000,-0.0020
CnnPolicy_50M_coinrun_8192_4_levels4000_seed2026_v0,coinrun,"[{""allow_monsters"":true}]",65.9808,7.2000,65.6576,29.1220,5.2065,0.0139,0.0000,69.6000,69.5200,69.3300,69.4833,6.9600,6.9520,6.9330,6.9483,64.8498,30.3441,4.8061,0.0000,0.0000,-3.5025
CnnPolicy_50M_coinrun_8192_4_levels4000_seed42_v0,coinrun,"[{""allow_monsters"":true}]",65.3072,7.0000,66.2166,28.2570,5.5188,0.0075,0.0000,68.4000,67.8300,68.4200,68.2167,6.8400,6.7830,6.8420,6.8217,66.0829,28.6523,5.2648,0.0000,0.0000,-2.9095
CnnPolicy_50M_coinrun_8192_4_levels4000_seed749251_v0,coinrun,"[{""allow_monsters"":true}]",64.6207,6.0000,66.0795,28.1840,5.6884,0.0481,0.0000,67.5100,68.1800,68.3000,67.9967,6.7510,6.8180,6.8300,6.7997,65.6807,28.8407,5.4786,0.0000,0.0000,-3.3760
CnnPolicy_50M_coinrun_8192_4_levels500_seed2026_v1,coinrun,"[{""allow_monsters"":true}]",73.8733,8.6000,64.5794,28.9508,6.4016,0.0683,0.0000,64.4300,64.5900,64.7300,64.5833,6.4430,6.4590,6.4730,6.4583,66.8706,28.3012,4.8094,0.0188,0.0000,9.2900
CnnPolicy_50M_coinrun_8192_4_levels500_seed42_v0,coinrun,"[{""allow_monsters"":true}]",71.7234,7.7000,63.7259,29.0994,7.0809,0.0939,0.0000,64.4400,64.5000,64.8100,64.5833,6.4440,6.4500,6.4810,6.4583,67.1059,27.6988,4.3671,0.8282,0.0000,7.1400
CnnPolicy_50M_coinrun_8192_4_levels500_seed749251_v0,coinrun,"[{""allow_monsters"":true}]",73.9020,7.9000,63.9910,28.9803,6.9669,0.0619,0.0000,65.4600,64.9800,65.6800,65.3733,6.5460,6.4980,6.5680,6.5373,65.9992,29.0913,4.8518,0.0578,0.0000,8.5286
CnnPolicy_50M_coinrun_8192_4_levels8000_seed2026_v0,coinrun,"[{""allow_monsters"":true}]",65.2985,7.8000,66.1774,28.3633,5.4535,0.0058,0.0000,69.9200,69.8100,70.3000,70.0100,6.9920,6.9810,7.0300,7.0010,64.3548,30.3657,5.2795,0.0000,0.0000,-4.7115
CnnPolicy_50M_coinrun_8192_4_levels8000_seed42_v0,coinrun,"[{""allow_monsters"":true}]",65.2105,6.7000,66.1713,28.7791,5.0455,0.0042,0.0000,70.2800,70.9000,71.1100,70.7633,7.0280,7.0900,7.1110,7.0763,64.3712,31.0569,4.5719,0.0000,0.0000,-5.5529
CnnPolicy_50M_coinrun_8192_4_levels8000_seed749251_v0,coinrun,"[{""allow_monsters"":true}]",65.6821,6.7000,65.0818,29.5081,5.4027,0.0074,0.0000,71.8200,71.3000,71.3600,71.4933,7.1820,7.1300,7.1360,7.1493,63.5290,31.6183,4.8527,0.0000,0.0000,-5.8113
